"","codeid","fullname","eppocode"
"561",114239,"Caltha leptosepala","CTALE"
"562",114393,"Boronia pinnata","BNOPI"
"563",114613,"Lilium nepalense","LILNP"
"564",114827,"Echinacea sanguinea","ECESA"
"565",28967,"Maclura tricuspidata","CVDTR"
"566",115268,"Opuntia pottsii","OPUPT"
"567",83920,"Sparganium stoloniferum","SPGES"
"568",77279,"Syzygium borbonicum","SYZBO"
"569",116225,"Pulsatilla chinensis","PUSCH"
"570",117982,"Ornithogalum kochii","OTGKO"
"571",118795,"Bergenia ciliata","BENCI"
"572",29282,"Corylus cornuta subsp. californica","CYLCC"
"573",93566,"Anthoxanthum nipponicum","AOXAL"
"574",121015,"Camellia semiserrata","CAHSE"
"575",102048,"Astragalus echinus","AKVEC"
"576",123352,"Trifolium cyathiferum","TRFCY"
"577",83882,"Olea europaea subsp. cerasiformis","OLVEM"
"578",124070,"Solanum tuberosum hybrids","SOLTH"
"579",124377,"Atractylodes macrocephala","AKZMA"
"580",124549,"Nabalus albus","NBSAL"
"581",125034,"Begonia palmata","BEGPM"
"582",125124,"Capsicum baccatum var. praetermissum","CPSBT"
"583",125415,"Calochortus tolmiei","CCUTO"
"584",34142,"Melicytus alpinus","HMNAL"
"585",34145,"Melicytus dentatus","HMNDE"
"586",126038,"Meconopsis napaulensis","MEPNA"
"587",126443,"Greigia sphacelata","GEASP"
"588",126446,"Myrteola nummularia","WYRNU"
"589",126485,"Ligusticum officinale","LGTOF"
"590",126760,"Triteleia peduncularis","TIEPE"
"591",56699,"Citrus x limon var. meyerii","CIDMY"
