"","codeid","fullname","eppocode"
"159",33740,"Hydrophyllum virginianum","HDPVI"
"160",33790,"Helichrysum indicum","HECIN"
"161",33971,"Hibiscus cannabinus","HIBCA"
"162",34056,"Hirschfeldia incana","HISIN"
"163",34071,"Hakea sericea","HKASE"
"164",34208,"Honckenya peploides","HOKPE"
"165",34249,"Houttuynia cordata","HOTCO"
"166",34366,"Hosta montana","HSTEL"
"167",34368,"Hosta sieboldiana","HSTSI"
"168",34373,"Hyoscyamus niger","HSYNI"
"169",34414,"Humulus scandens","HUMJA"
"170",34415,"Humulus lupulus var. cordifolius","HUMLC"
"171",34416,"Humulus lupulus","HUMLU"
"172",34480,"Hydrangea aspera","HYEAA"
"173",34481,"Hydrangea aspera subsp. robusta","HYEAB"
"174",34484,"Hydrangea aspera subsp. sargentiana","HYEAS"
"175",34566,"Hypericum calycinum","HYPCA"
"176",34576,"Hypericum erectum","HYPER"
"177",34709,"Jasminum humile f. farreri","IASHF"
"178",34797,"Ilex x attenuata","ILEAT"
"179",34800,"Ilex cassine","ILECA"
"180",34814,"Ilex glabra","ILEGL"
"181",34828,"Ilex myrtifolia","ILEMY"
"182",34856,"Imperata cylindrica var. koenigii","IMPCK"
"183",34859,"Imperata cylindrica","IMPCY"
"184",35242,"Juglans californica","IUGCA"
"185",35250,"Juglans microcarpa","IUGMI"
"186",35259,"Juglans regia","IUGRE"
"187",35311,"Juncus decipiens","IUNED"
"188",35312,"Juncus effusus","IUNEF"
"189",35355,"Juniperus ashei","IUPAS"
"190",35384,"Juniperus oxycedrus subsp. macrocarpa","IUPOM"
"191",35385,"Juniperus oxycedrus","IUPOO"
"192",35454,"Kalmia angustifolia","KAMAN"
"193",35455,"Kalmia carolina","KAMCA"
"194",35458,"Kalmia latifolia","KAMLA"
"195",35460,"Kalmia polifolia","KAMPO"
"196",35482,"Aster yomena","KASYO"
"197",35505,"Kerria japonica","KERJA"
"198",35549,"Knightia excelsa","KNGEX"
"199",35636,"Lactuca canadensis","LACCA"
"200",35637,"Lactuca capensis","LACCP"
"201",35720,"Laportea canadensis","LAOCA"
"202",35858,"Ledum groenlandicum","LEDGR"
"203",35933,"Lepidium densiflorum","LEPDE"
"204",36067,"Lithocarpus edulis","LIAED"
"205",36260,"Litsea cubeba","LISCU"
"206",36267,"Lithospermum ruderale","LITRU"
"207",36283,"Linum strictum","LIUST"
"208",36284,"Linum corymbulosum","LIUSY"
"209",36382,"Lobelia cardinalis","LOBCA"
"210",36697,"Lathyrus aphaca","LTHAP"
"211",36716,"Lathyrus palustris","LTHPA"
"212",36810,"Lupinus angustifolius","LUPAN"
"213",36812,"Lupinus angustifolius subsp. reticulatus","LUPAT"
"214",36828,"Lupinus polyphyllus","LUPPO"
"215",36877,"Lycopus americanus","LYAAM"
"216",36885,"Lycopus virginicus","LYAVI"
"217",36971,"Lycium ruthenicum","LYURU"
"218",36994,"Malus floribunda","MABFB"
"219",37005,"Malus hupehensis","MABHU"
"220",37012,"Malus prunifolia","MABPF"
"221",37013,"Malus prunifolia var. rinkii","MABPK"
"222",37021,"Malus domestica","MABSD"
"223",37023,"Malus sieversii","MABSI"
"224",37026,"Malus spectabilis","MABSP"
"225",37027,"Malus pumila var. paradisiaca","MABSQ"
"226",37139,"Malva parviflora","MALPA"
"227",37214,"Marsilea quadrifolia","MASQU"
"228",37237,"Mazus pumilus","MAZJA"
"229",37369,"Medicago ciliaris","MEDCI"
"230",37372,"Medicago falcata","MEDFA"
"231",37373,"Medicago sativa subsp. glomerata","MEDGL"
"232",37383,"Medicago polymorpha","MEDPO"
"233",37389,"Medicago sativa","MEDSA"
"234",37395,"Medicago x varia","MEDVA"
"235",37706,"Melaleuca linariifolia","MLALI"
"236",37872,"Monarda citriodora","MOACI"
"237",38183,"Meum athamanticum","MUMAT"
"238",38426,"Nepeta cataria","NEPCA"
"239",38840,"Oenanthe aquatica","OENAQ"
"240",38935,"Olearia traversii","OLRTR"
"241",38938,"Olea europaea subsp. africana","OLVEA"
"242",38939,"Olea europaea subsp. sylvestris","OLVES"
"243",38957,"Osmorhiza chilensis","OMRCH"
"244",39039,"Oplopanax japonicus","OPOJA"
"245",39043,"Ophrys apifera","OPRAP"
"246",39164,"Ornithopus sativus","OROSA"
"247",39165,"Ornithopus sativus subsp. isthmocarpus","OROSI"
"248",39264,"Osmanthus heterophyllus","OSUHE"
"249",39300,"Ornithogalum umbellatum","OTGUM"
"250",39342,"Oxalis deppei","OXADP"
"251",39345,"Oxalis enneaphylla","OXAEN"
"252",39346,"Oxalis europaea","OXAEU"
"253",39373,"Oxalis stricta","OXAST"
"254",39374,"Oxalis tetraphylla","OXATE"
"255",39625,"Paeonia lactiflora","PAOLA"
"256",39627,"Paeonia lactiflora hybrids","PAOLH"
"257",39629,"Paeonia officinalis","PAOOF"
"258",39647,"Papaver nudicaule","PAPNU"
"259",40007,"Perovskia atriplicifolia","PEKAT"
"260",40088,"Peltandra sagittifolia","PETSA"
"261",40290,"Photinia glabra","PHNGL"
"262",40295,"Pourthiaea villosa","PHNVI"
"263",40360,"Phytolacca dioica","PHTDI"
"264",40383,"Physalis alkekengi var. franchetii","PHYAF"
"265",40384,"Physalis alkekengi","PHYAL"
"266",40408,"Physalis viscosa","PHYVI"
